File Name,Size (bytes),Creation Time,Modification Time,Access Time,Extension,SHA-256 Hash,Entropy,Label
96ee263479c465dd3a7316a4c5982216272676bbf65a2e1f89ab11afe7e92333.js,25369,1738446670.6308615,1738438892.0,1738446674.6915836,.js,96ee263479c465dd3a7316a4c5982216272676bbf65a2e1f89ab11afe7e92333,4.891357463754612,0
96ee263479c465dd3a7316a4c5982216272676bbf65a2e1f89ab11afe7e92333.zip,4900,1738446097.7591648,1738446099.3613992,1738446674.6915836,.zip,90d1c70bda31b179284a2df483b0088d839192e6383303c871020c0256c94645,7.9496553409789055,1
Elliptic.exe,245760,1736619799.197255,1699718490.3239727,1738446382.1772246,.exe,5675ed8b0f06f002829dd12336ea5c57988f7ae9c8def963300b6207eb791c1c,7.880594104044456,0
License.txt,6031,1736619617.1527357,1706454000.0,1738446397.7821958,.txt,3a9a7bca133a8af4560f48dfa351f941e110d80a2c2466e537ec6680b9fc2dda,5.1878537294459095,1
main.js,168,1738368293.4390273,1667402987.717193,1738446120.9198103,.js,4afecb83a8b6568f63741d4d9ee267c197944f99a9bf176cba1cf754e177bccd,4.3768752045525,1
PacketTracer62_setup.exe,153811128,1736619672.0997338,1725558502.4189792,1738446672.21403,.exe,50d63c7b25d9d04317c1bf68353d453008738187427a7b1bd3b81b8b5014928b,7.999989059494887,0
vite.config.js,300,1738368279.0154061,1667124257.385527,1738446173.9336052,.js,8c40aa74e5f3fda05c2b448b76dbcf39deba7db986e81f54db51160b00501b56,4.854036318640666,1
